rank,opportunity_score,query,category,source_name,title,price,query_median_price,query_min_price,query_offer_count,query_source_count,price_gap_to_median_pct,demand_proxy,confidence,item_url,image_url,fetched_at
22,78.40,fone bluetooth,headset_fone,amazon,"Fone De Ouvido Bluetooth, Fone Sem Fio, Compatível Com Todo Celular, Cancelamento Ruído, Bateria de Longa Duração, Até 16 Horas de Uso Microfone - Conecta Case e Fones Com Celular, Controle Touch",24.90,149.45,19.90,70,3,0.8334,500.00,0.90,https://www.amazon.com.br/dp/B0GMRS7T13,https://m.media-amazon.com/images/I/51X93Dd3NsL._AC_UL320_.jpg,2026-05-02 18:04:33.559 -0300
23,78.04,mouse sem fio,mouse,shopee,"Mouse sem fio dual band receptor nano 2,4ghz / Bluetooth RGB recarregável MS-S350L",16.99,60.34,5.49,91,6,0.7184,48935.00,0.75,https://shopee.com.br/Mouse-sem-fio-dual-band-receptor-nano-2-4ghz-Bluetooth-RGB-recarreg%C3%A1vel-MS-S350L-i.372103398.22597307453,https://down-br.img.susercontent.com/file/sg-11134201-7rce1-lqurgzr7a0cy17,2026-05-01 13:09:59.876 -0300
24,77.65,mouse gamer,mouse,aliexpress,GOOJODOQ Bluetooth + 2.4G Mouse de modo duplo recarregável luz colorida 800-1200-1600 DPI clique silencioso design ergonômico,29.00,124.10,6.99,94,6,0.7663,4000.00,0.65,https://pt.aliexpress.com/item/1005010363444764.html,https://ae-pic-a1.aliexpress-media.com/kf/S638bd3201b064bee8895b14301b60475D.jpg_480x480q75.jpg_.avif,2026-05-02 08:03:38.563 -0300
25,77.33,webcam,webcam,amazon,"Owfeel Webcam 1080P com Microfone, Full HD, com foco automático rotativo de 360º para laptop/PC/Mac",34.30,139.99,9.81,83,4,0.7550,2200.00,0.90,https://www.amazon.com.br/dp/B08DJ4DL9N,https://m.media-amazon.com/images/I/51OEgiWAoKL._AC_UL320_.jpg,2026-05-02 19:05:09.196 -0300
26,77.06,combo teclado mouse,mouse,terabyte,Combo Mouse e Teclado Dr. Office SDR-0302-G Sem Fio,8.83,119.00,8.83,60,3,0.9258,0.00,0.95,https://www.terabyteshop.com.br/produto/23683/combo-mouse-e-teclado-dr-office-sdr-0302-g-sem-fio-usb-cinza-metalico,https://img.terabyteshop.com.br/produto/m/combo-mouse-e-teclado-dr-office-sdr-0302-g-sem-fio-usb-cinza-metalico_161304.png,2026-05-02 04:44:20.413 -0300
27,77.03,mouse gamer,mouse,shopee,Mouse Gamer Laser X7 3200dpi Led Rgb Usb 7 Botões Profissional Original,25.99,124.10,6.99,94,6,0.7906,456.00,0.75,https://shopee.com.br/Mouse-Gamer-Laser-X7-3200dpi-Led-Rgb-Usb-7-Bot%C3%B5es-Profissional-Original-i.400445031.22999340252,https://down-br.img.susercontent.com/file/br-11134207-81ztc-mkfxnzwuc8ht94,2026-05-01 13:09:12.911 -0300
28,76.93,teclado mecanico,teclado,kabum,Cabo Adaptador Conversor HDMI para VGA F + Áudio F3 - JC- AD-HM/VGA,18.99,169.99,16.03,93,6,0.8883,0.00,0.95,https://www.kabum.com.br/produto/112044/cabo-adaptador-conversor-hdmi-para-vga-f-audio-f3-jc-ad-hm-vga,https://images.kabum.com.br/produtos/fotos/112044/cabo-adaptador-conversor-f3-hdmi-x-vga-f-audio-jc-ad-hm-vga_1659733792_m.jpg,2026-05-01 13:17:28.267 -0300
29,76.75,mouse gamer,mouse,aliexpress,"1 pc novo mouse para jogos usb hipervelocidade rgb retroiluminado ergonômico mouse para jogos 7d esports mouse com fio para computador portátil gamer R$13,11 R$24,11 -45% 4.5 1.000+ vendido(s) R$10 OFF em R$80 Novo usuário - R$11 OFF",13.11,124.10,6.99,94,6,0.8944,1.00,0.65,https://pt.aliexpress.com/item/1005008494169464.html,https://ae-pic-a1.aliexpress-media.com/kf/S1cb5b1cb53dc438ba7d2a4a711fd8923r.jpg_480x480q75.jpg_.avif,2026-05-01 10:34:57.257 -0300
30,76.55,fone bluetooth,headset_fone,amazon,Fone de Ouvido USB Tipo-C com Microfone Integrado - Isolamento de Ruído - Controles de Áudio no Cabo - Compatível com Smartphones e Tablets USB-C,19.99,149.45,19.90,70,3,0.8662,205.00,0.90,https://www.amazon.com.br/sspa/click,https://m.media-amazon.com/images/I/51bA7BQKGJL._AC_UL320_.jpg,2026-05-03 06:03:09.380 -0300
31,76.48,combo teclado mouse,mousepad,terabyte,"Combo Gamer Evolut Starter EG-54, 4 em 1, Teclado, Mouse, Headset e Mousepad, Rainbow, Preto",9.81,119.00,8.83,60,3,0.9176,0.00,0.95,https://www.terabyteshop.com.br/produto/33818/combo-gamer-evolut-starter-eg-54-4-em-1-teclado-mouse-headset-e-mousepad-rainbow-preto,https://img.terabyteshop.com.br/produto/m/combo-gamer-evolut-starter-eg-54-4-em-1-teclado-mouse-headset-e-mousepad-rainbow-preto_225055.jpg,2026-05-02 04:44:20.413 -0300
