product_id,product_name,product_name_key,domain_id,category,status,brand,line,model,gtin,main_color,first_image_url,queries,query_count,fetched_date,fetched_at,source_file
MLB67000128,Módulo Tomada Carregador Usb-c Margirius B3 2a 10w Branco,modulo tomada carregador usb c margirius b3 2a 10w branco,MLB-ELECTRICAL_OUTLETS,cabo,active,MarGirius,,B3 2A,07890428224019,Branco,https://http2.mlstatic.com/D_NQ_NP_951925-MLA109284296711_032026-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB68918922,Cabo Carregador Usb Relógio Inteligente Smartwatch Garmin | Type C,cabo carregador usb relogio inteligente smartwatch garmin type c,MLB-SMARTWATCH_CHARGERS,cabo,active,Th2i,,TH-CTC-GARMIN,07896608837215,,https://http2.mlstatic.com/D_NQ_NP_714880-MLA110164204086_042026-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB37830695,Carregador USB-C DJI 65W BR - DJI1030,carregador usb c dji 65w dji1030,MLB-DRONE_BATTERY_CHARGERS,cabo,active,DJI,,DJI1030,7908685681480,,https://http2.mlstatic.com/D_NQ_NP_996323-MLA95664951322_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB59991218,"Carregador USB NTW USB-A para USB-c Data Lock, adaptado",carregador usb ntw usb usb c data lock adaptado,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Ntw,,,,,https://http2.mlstatic.com/D_NQ_NP_619699-MLA94457851016_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB63421047,Carregador Usb Modular 24mm X 42mm Branco,carregador usb modular 24mm x 42mm branco,MLB-ELECTRICAL_OUTLETS,cabo,active,XLX,Innova USB,Modular Innova Branco,7895934900600,Branco,https://http2.mlstatic.com/D_NQ_NP_871944-MLA101661894796_122025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB45694712,Kit 10 Tomada Carregador Usb - Magirius,kit 10 tomada carregador usb magirius,MLB-ELECTRICAL_OUTLETS,cabo,active,MarGirius,,USB,7896748712779,Branco,https://http2.mlstatic.com/D_NQ_NP_924211-MLA81825858406_012025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB63421171,Carregador Usb Modular 24mm X 42mm Preto,carregador usb modular 24mm x 42mm preto,MLB-ELECTRICAL_OUTLETS,cabo,active,XLX,FusionPro USB,Modular FusionPro Preto,7896228164562,Preto,https://http2.mlstatic.com/D_NQ_NP_675372-MLA102165563519_122025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB21883191,Isqueiro Eletrico Plasma Carregador Usb Purple Fire-cultclow,isqueiro eletrico plasma carregador usb purple fire cultclow,MLB-LIGHTERS,cabo,active,PURPLEFIRE®,Plasma,,751320965882,,https://http2.mlstatic.com/D_NQ_NP_714684-MLU79050267683_092024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:21.849 -0300,mercado_livre_products_raw_202605041308.csv
MLB63445210,Carregador instantâneo Infinitylab 20w 1 Usb Carregador USB compacto Pd,carregador instantaneo infinitylab 20w 1 usb carregador usb compacto pd,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Infinitylab,,Infinitylab Instantcharger 20w,,,https://http2.mlstatic.com/D_NQ_NP_622393-MLA102293814883_122025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB24300811,Extensão Carregador Usb 7 Portas Pc Notebook Mouse Teclado,extensao carregador usb 7 portas pc notebook mouse teclado,MLB-USB_HUBS,mouse,active,Ac Adapter,,HB-T57,7895962142621,,https://http2.mlstatic.com/D_NQ_NP_606503-MLU70333707740_072023-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB61462447,"Cabo Carregador Usb C Para Usb C 1,5m - Lity Cor Lilás",cabo carregador usb c usb c 1 5m lity cor lilas,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Salcomp,,USB,7893595964818,,https://http2.mlstatic.com/D_NQ_NP_996142-MLA96774255309_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB40837668,"Cabo Carregador Usb C Para Usb C 1,5m - Lity Cor Azul",cabo carregador usb c usb c 1 5m lity cor azul,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Salcomp,,USB,7893595964801,,https://http2.mlstatic.com/D_NQ_NP_821749-MLU79302402717_092024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
